iter	Passed	Remaining
0	0	377
1	0	335
2	0	315
3	1	308
4	1	299
5	1	290
6	1	278
7	2	270
8	2	263
9	2	258
10	2	253
11	3	250
12	3	246
13	3	243
14	3	241
15	3	239
16	4	237
17	4	235
18	4	233
19	4	235
20	5	235
21	5	234
22	5	233
23	5	232
24	5	231
25	6	230
26	6	228
27	6	227
28	6	226
29	7	226
30	7	225
31	7	225
32	7	224
33	7	223
34	8	222
35	8	221
36	8	220
37	8	219
38	8	219
39	9	218
40	9	217
41	9	216
42	9	216
43	9	215
44	10	215
45	10	216
46	10	216
47	10	216
48	11	216
49	11	217
50	11	217
51	11	218
52	12	218
53	12	218
54	12	219
55	13	219
56	13	220
57	13	220
58	13	220
59	14	220
60	14	221
61	14	220
62	14	220
63	15	219
64	15	219
65	15	219
66	15	219
67	16	219
68	16	219
69	16	219
70	16	219
71	17	219
72	17	219
73	17	219
74	17	219
75	18	219
76	18	219
77	18	218
78	18	218
79	19	218
80	19	218
81	19	218
82	19	217
83	19	216
84	20	216
85	20	216
86	20	216
87	20	216
88	21	216
89	21	216
90	21	216
91	21	216
92	22	215
93	22	215
94	22	215
95	22	215
96	23	215
97	23	215
98	23	214
99	23	214
100	24	214
101	24	214
102	24	214
103	24	214
104	25	213
105	25	213
106	25	213
107	25	213
108	26	213
109	26	212
110	26	212
111	26	212
112	27	212
113	27	212
114	27	212
115	27	212
116	28	211
117	28	211
118	28	211
119	28	211
120	29	211
121	29	211
122	29	210
123	29	210
124	30	210
125	30	210
126	30	209
127	30	209
128	31	210
129	31	210
130	31	210
131	31	210
132	32	210
133	32	209
134	32	209
135	32	209
136	33	209
137	33	209
138	33	209
139	34	209
140	34	209
141	34	208
142	34	208
143	34	208
144	35	207
145	35	207
146	35	207
147	35	207
148	36	207
149	36	206
150	36	206
151	36	206
152	37	206
153	37	206
154	37	205
155	37	205
156	38	205
157	38	205
158	38	204
159	38	204
160	39	204
161	39	203
162	39	203
163	39	203
164	40	203
165	40	203
166	40	202
167	40	202
168	41	202
169	41	202
170	41	202
171	42	202
172	42	202
173	42	201
174	42	201
175	43	201
176	43	201
177	43	201
178	43	201
179	44	200
180	44	200
181	44	200
182	44	200
183	45	199
184	45	199
185	45	199
186	45	199
187	46	198
188	46	198
189	46	198
190	46	198
191	47	198
192	47	198
193	47	198
194	47	197
195	48	197
196	48	197
197	48	197
198	48	197
199	49	197
200	49	197
201	49	196
202	50	196
203	50	196
204	50	196
205	50	196
206	51	195
207	51	195
208	51	195
209	51	195
210	52	195
211	52	194
212	52	194
213	52	194
214	53	194
215	53	193
216	53	193
217	53	193
218	54	193
219	54	192
220	54	192
221	54	192
222	55	192
223	55	192
224	55	191
225	55	191
226	56	191
227	56	191
228	56	191
229	57	190
230	57	190
231	57	190
232	57	190
233	58	190
234	58	189
235	58	189
236	58	189
237	59	189
238	59	189
239	59	188
240	59	188
241	60	188
242	60	188
243	60	188
244	60	187
245	61	187
246	61	187
247	61	187
248	62	187
249	62	187
250	62	186
251	62	186
252	63	186
253	63	186
254	63	186
255	64	186
256	64	186
257	64	186
258	64	185
259	65	185
260	65	185
261	66	186
262	66	186
263	66	186
264	67	185
265	67	185
266	67	185
267	67	185
268	68	185
269	68	185
270	68	185
271	69	184
272	69	184
273	69	184
274	70	184
275	70	184
276	70	184
277	70	184
278	71	184
279	71	184
280	71	184
281	72	183
282	72	183
283	72	183
284	73	183
285	73	183
286	73	183
287	74	182
288	74	182
289	74	182
290	74	182
291	75	182
292	75	182
293	75	181
294	76	181
295	76	181
296	76	181
297	77	181
298	77	181
299	77	180
300	77	180
301	78	180
302	79	182
303	79	181
304	79	181
305	79	181
306	80	181
307	80	180
308	80	180
309	81	180
310	81	180
311	81	179
312	81	179
313	82	179
314	82	179
315	82	178
316	82	178
